,artist_id,name,track_id,track_name,track_artist,popularity,uri
80,3NqV2DJoAWsjl787bWaHW7,AMYL AND THE SNIFFERS,6zfVBdPDopmP36NeHd4O2m,U Should Not Be Doing That,Amyl and The Sniffers,51,spotify:track:6zfVBdPDopmP36NeHd4O2m
81,1txb9Qg5lJ3KATxPcIYyvO,AMÉMÉ,3dxRWsZjwpth3fsIgoUKVs,Agolo (Next Gen),Angelique Kidjo,42,spotify:track:3dxRWsZjwpth3fsIgoUKVs
82,1txb9Qg5lJ3KATxPcIYyvO,AMÉMÉ,0wIZzK1cWw1CzYGxN1Og8m,Ando High,Tom & Collins,47,spotify:track:0wIZzK1cWw1CzYGxN1Og8m
83,1txb9Qg5lJ3KATxPcIYyvO,AMÉMÉ,7ueApo7ZVKglrGkt7X85e9,Conga Mongo,AMÉMÉ,42,spotify:track:7ueApo7ZVKglrGkt7X85e9
84,1txb9Qg5lJ3KATxPcIYyvO,AMÉMÉ,7MJY6QjGV2Rf4LbGt4hxEV,Like That,AMÉMÉ,34,spotify:track:7MJY6QjGV2Rf4LbGt4hxEV
85,1txb9Qg5lJ3KATxPcIYyvO,AMÉMÉ,7jbFUT1nqMqF2bHr7Sax5i,Me Gusta - AMÉMÉ Remix,AZZUR,35,spotify:track:7jbFUT1nqMqF2bHr7Sax5i
86,1txb9Qg5lJ3KATxPcIYyvO,AMÉMÉ,5tfqO6elC42ZwXfIN1aSDk,Pliva,Jamie Jones,44,spotify:track:5tfqO6elC42ZwXfIN1aSDk
87,1txb9Qg5lJ3KATxPcIYyvO,AMÉMÉ,0tNhC1gTRuLH000EDfMEYf,Richa,AMÉMÉ,38,spotify:track:0tNhC1gTRuLH000EDfMEYf
88,1txb9Qg5lJ3KATxPcIYyvO,AMÉMÉ,3KaOuwuIuZYfR1VhAENRXG,Runaway,AMÉMÉ,46,spotify:track:3KaOuwuIuZYfR1VhAENRXG
89,1txb9Qg5lJ3KATxPcIYyvO,AMÉMÉ,6T6NIXPtD786quBOycpUTX,Wait For You,AMÉMÉ,51,spotify:track:6T6NIXPtD786quBOycpUTX
